Name;Differential Expression Adjusted p-value;Differential Expression Log2 Ratio;Differential Expression p-value;gene;locus_tag
HXT13 CDS;1,46E-60;2,94963395;2,46E-64;HXT13;YEL069C
HXT17 CDS;5,56E-42;2,688648071;1,87E-45;HXT17;YNR072W
DSF1 CDS;3,15E-31;2,15225291;2,65E-34;DSF1;YEL070W
hypothetical protein CDS;3,15E-31;2,114409434;2,40E-34;;YNR073C
PCK1 CDS;3,15E-31;-1,922389907;1,84E-34;PCK1;YKR097W
COX5B CDS;1,55E-27;1,888901893;1,56E-30;COX5B;YIL111W
hypothetical protein CDS;1,48E-21;1,969732136;1,74E-24;;YJL133C-A
RTS3 CDS;6,93E-21;1,998607873;9,33E-24;RTS3;YGR161C
DAK2 CDS;1,17E-20;2,341671378;1,78E-23;DAK2;YFL053W
CWP1 CDS;8,71E-17;-1,844609393;1,61E-19;CWP1;YKL096W
CTT1 CDS;2,04E-15;-1,79668048;4,12E-18;CTT1;YGR088W
hypothetical protein CDS;1,12E-14;1,517755902;2,46E-17;;YFL054C
HXT16 CDS;2,83E-14;1,309646794;6,68E-17;HXT16;YJR158W
hypothetical protein CDS;6,11E-14;-1,390895985;1,54E-16;;YLR285C-A
HXT15 CDS;3,26E-13;1,276524398;8,79E-16;HXT15;YDL245C
PFK27 CDS;7,06E-13;1,561266513;2,14E-15;PFK27;YOL136C
IZH4 CDS;7,06E-13;1,556768642;2,02E-15;IZH4;YOL101C
MAL12 CDS;7,71E-13;1,942734474;2,47E-15;MAL12;YGR292W
hypothetical protein CDS;1,36E-12;1,302306871;4,95E-15;;YMR252C
IZH2 CDS;1,36E-12;1,158093148;5,04E-15;IZH2;YOL002C
MAL11 CDS;5,38E-12;1,739591333;2,08E-14;MAL11;YGR289C
SRD1 CDS;2,45E-11;1,213947385;9,92E-14;SRD1;YCR018C
STB6 CDS;2,75E-11;1,128269618;1,16E-13;STB6;YKL072W
OLE1 CDS;4,18E-11;1,287436459;1,83E-13;OLE1;YGL055W
MAL32 CDS;7,16E-11;1,777272896;3,26E-13;MAL32;YBR299W
ACO1 CDS;1,35E-10;-1,06133188;6,36E-13;ACO1;YLR304C
hypothetical protein CDS;3,21E-10;1,140393569;1,57E-12;;YNR034W-A
DSE2 CDS;3,29E-10;-1,307130243;1,66E-12;DSE2;YHR143W
PUS2 CDS;5,25E-10;1,306600539;2,74E-12;PUS2;YGL063W
CTS1 CDS;8,63E-10;-1,325063062;4,65E-12;CTS1;YLR286C
MLS1 CDS;1,20E-09;-1,087578263;6,70E-12;MLS1;YNL117W
hypothetical protein CDS;1,93E-09;1,312731305;1,11E-11;;YLR413W
MEP3 CDS;4,86E-09;1,258342357;2,87E-11;MEP3;YPR138C
PUT4 CDS;8,32E-09;-1,048878076;5,04E-11;PUT4;YOR348C
FBP1 CDS;8,55E-09;-1,197518402;5,33E-11;FBP1;YLR377C
hypothetical protein CDS;9,55E-09;1,402576161;6,11E-11;;YNR014W
DOG1 CDS;1,43E-08;1,272925915;9,63E-11;DOG1;YHR044C
USV1 CDS;1,43E-08;1,050944094;9,50E-11;USV1;YPL230W
ESF1 CDS;2,35E-08;1,058716105;1,62E-10;ESF1;YDR365C
hypothetical protein CDS;5,02E-08;0,941066811;3,55E-10;;YGR161W-C
TDA4 CDS;6,21E-08;1,10103717;4,50E-10;TDA4;YJR116W
ICT1 CDS;1,07E-07;1,035756231;7,90E-10;ICT1;YLR099C
KAR2 CDS;1,53E-07;1,300432453;1,16E-09;KAR2;YJL034W
SUC2 CDS;1,74E-07;0,937617198;1,35E-09;SUC2;YIL162W
hypothetical protein CDS;2,20E-07;0,986382065;1,74E-09;;YPR027C
hypothetical protein CDS;3,00E-07;-0,964561118;2,42E-09;;YGL262W
GAC1 CDS;3,34E-07;0,963592922;2,76E-09;GAC1;YOR178C
hypothetical protein CDS;3,61E-07;1,064024555;3,04E-09;;YJL144W
HXT10 CDS;6,41E-07;1,224867806;5,51E-09;HXT10;YFL011W
CLN2 CDS;7,07E-07;-1,255457817;6,19E-09;CLN2;YPL256C
ARG1 CDS;7,18E-07;0,959459496;6,41E-09;ARG1;YOL058W
ISF1 CDS;1,03E-06;1,006130007;9,33E-09;ISF1;YMR081C
YET2 CDS;1,28E-06;1,014833496;1,19E-08;YET2;YMR040W
hypothetical protein CDS;1,64E-06;1,008356504;1,55E-08;;YFL002W-A
hypothetical protein CDS;2,75E-06;-0,977947843;2,64E-08;;YOR186W
PCL1 CDS;3,59E-06;-1,321333063;3,51E-08;PCL1;YNL289W
IRC10 CDS;3,61E-06;0,964893218;3,59E-08;IRC10;YOL015W
BDH1 CDS;3,70E-06;0,844130657;3,74E-08;BDH1;YAL060W
hypothetical protein CDS;4,74E-06;0,993766755;4,87E-08;;YDR034C-C
hypothetical protein CDS;5,55E-06;0,972774697;5,79E-08;;YGR161W-B
FIT2 CDS;7,02E-06;0,914517556;7,48E-08;FIT2;YOR382W
FUM1 CDS;7,02E-06;-0,923155141;7,57E-08;FUM1;YPL262W
hypothetical protein CDS;9,66E-06;0,956714635;1,06E-07;;YLR410W-B
PAU7 CDS;9,79E-06;1,039940974;1,09E-07;PAU7;YAR020C
MAL31 CDS;1,04E-05;1,064660137;1,17E-07;MAL31;YBR298C
HES1 CDS;1,22E-05;0,997845562;1,42E-07;HES1;YOR237W
ICL1 CDS;1,22E-05;-0,876082407;1,40E-07;ICL1;YER065C
COS12 CDS;1,23E-05;-1,207180424;1,46E-07;COS12;YGL263W
hypothetical protein CDS;1,32E-05;0,9487287;1,58E-07;;YCL019W
UTR2 CDS;1,58E-05;-1,16913313;1,92E-07;UTR2;YEL040W
PIS1 CDS;1,79E-05;1,012736705;2,20E-07;PIS1;YPR113W
THI12 CDS;2,10E-05;0,823409979;2,61E-07;THI12;YNL332W
hypothetical protein CDS;2,62E-05;0,969049891;3,35E-07;;YFL002W-B
THI5 CDS;2,62E-05;0,871638203;3,34E-07;THI5;YFL058W
hypothetical protein CDS;3,08E-05;0,917004662;3,99E-07;;YOR192C-B
hypothetical protein CDS;3,59E-05;0,882791283;4,71E-07;;YDR034C-D
DIF1 CDS;4,03E-05;0,797610838;5,42E-07;DIF1;YLR437C
SRL1 CDS;4,03E-05;-0,868125951;5,43E-07;SRL1;YOR247W
RNR1 CDS;4,04E-05;-0,955643279;5,51E-07;RNR1;YER070W
FAS1 CDS;4,10E-05;0,85200525;5,66E-07;FAS1;YKL182W
SUN4 CDS;6,02E-05;-0,983713731;8,41E-07;SUN4;YNL066W
hypothetical protein CDS;6,11E-05;0,89454296;8,65E-07;;YLR410W-A
AMN1 CDS;6,38E-05;-1,109615659;9,14E-07;AMN1;YBR158W
hypothetical protein CDS;6,79E-05;0,955055378;9,84E-07;;YDR261W-B
CLN1 CDS;7,46E-05;-1,044245605;1,09E-06;CLN1;YMR199W
TOS6 CDS;7,50E-05;-0,818088305;1,11E-06;TOS6;YNL300W
ARO9 CDS;7,52E-05;-0,766408589;1,13E-06;ARO9;YHR137W
hypothetical protein CDS;9,01E-05;0,903416265;1,36E-06;;YGR161W-A
SPI1 CDS;9,95E-05;0,798368762;1,52E-06;SPI1;YER150W
GLK1 CDS;0,000104321;0,816005574;1,62E-06;GLK1;YCL040W
AXL2 CDS;0,000122572;-0,927452059;1,92E-06;AXL2;YIL140W
hypothetical protein CDS;0,00012655;0,912509968;2,00E-06;;YDR261W-A
hypothetical protein CDS;0,000128618;1,055779152;2,06E-06;;YNL024C
SPS100 CDS;0,000132328;-1,149577784;2,14E-06;SPS100;YHR139C
hypothetical protein CDS;0,000146441;0,889231202;2,39E-06;;YPR145C-A
TYE7 CDS;0,000179001;0,893945787;2,98E-06;TYE7;YOR344C
SVS1 CDS;0,000179001;-1,086026273;2,98E-06;SVS1;YPL163C
TDH1 CDS;0,000216966;0,84997715;3,69E-06;TDH1;YJL052W
hypothetical protein CDS;0,000216966;0,711838345;3,66E-06;;YGL039W
HSP30 CDS;0,000217411;0,762242327;3,77E-06;HSP30;YCR021C
ECM13 CDS;0,000217411;-0,850983821;3,77E-06;ECM13;YBL043W
MTL1 CDS;0,000277604;0,820353453;4,86E-06;MTL1;YGR023W
EMI2 CDS;0,000283904;0,863632755;5,02E-06;EMI2;YDR516C
ARG7 CDS;0,000318723;0,796521854;5,69E-06;ARG7;YMR062C
hypothetical protein CDS;0,000351948;0,774478514;6,34E-06;;YFL052W
PRY1 CDS;0,000402964;-0,761632484;7,40E-06;PRY1;YJL079C
PRM7 CDS;0,000411942;0,737999492;7,63E-06;PRM7;YDL039C
MSB2 CDS;0,000427822;-0,690497832;8,00E-06;MSB2;YGR014W
hypothetical protein CDS;0,000469743;0,693429136;8,86E-06;;YLR224W
hypothetical protein CDS;0,000513481;-1,09784351;9,77E-06;;YDL218W
PDH1 CDS;0,000545891;-0,881068862;1,05E-05;PDH1;YPR002W
KGD2 CDS;0,000561295;-0,640914314;1,09E-05;KGD2;YDR148C
TOS1 CDS;0,000587302;-0,977570608;1,15E-05;TOS1;YBR162C
hypothetical protein CDS;0,000591369;0,661710012;1,18E-05;;YBR284W
PHO89 CDS;0,000591369;-0,832386477;1,17E-05;PHO89;YBR296C
ARG3 CDS;0,000601157;0,699300128;1,20E-05;ARG3;YJL088W
BAG7 CDS;0,00060408;0,747635881;1,23E-05;BAG7;YOR134W
SCW4 CDS;0,00068508;-0,870933321;1,41E-05;SCW4;YGR279C
ENO2 CDS;0,000694685;0,889332633;1,44E-05;ENO2;YHR174W
ODC1 CDS;0,000694685;-0,951459795;1,45E-05;ODC1;YPL134C
hypothetical protein CDS;0,000804387;0,802462207;1,69E-05;;YFL051C
hypothetical protein CDS;0,000811451;0,97299685;1,72E-05;;YJR115W
CLB6 CDS;0,000907807;-0,872975059;1,94E-05;CLB6;YGR109C
MGA2 CDS;0,001044483;0,775203612;2,25E-05;MGA2;YIR033W
hypothetical protein CDS;0,001095613;0,771681599;2,40E-05;;YBL100W-B
YRO2 CDS;0,001095613;0,677758882;2,40E-05;YRO2;YBR054W
DSE1 CDS;0,001165272;-1,036082515;2,57E-05;DSE1;YER124C
LHS1 CDS;0,001206297;0,706253667;2,68E-05;LHS1;YKL073W
QCR2 CDS;0,001337667;-0,740824345;3,00E-05;QCR2;YPR191W
hypothetical protein CDS;0,001374113;0,953343176;3,10E-05;;YOR268C
IDH1 CDS;0,001408676;-0,852739641;3,20E-05;IDH1;YNL037C
hypothetical protein CDS;0,001433155;0,655398039;3,28E-05;;YBR230W-A
COR1 CDS;0,001452731;-0,778150778;3,35E-05;COR1;YBL045C
KCC4 CDS;0,001660454;-0,621904832;3,86E-05;KCC4;YCL024W
MSA2 CDS;0,00171984;-0,715213474;4,03E-05;MSA2;YKR077W
hypothetical protein CDS;0,001722401;0,730225022;4,06E-05;;YLR460C
DBF20 CDS;0,001773244;0,74089287;4,21E-05;DBF20;YPR111W
HRP1 CDS;0,001825398;-0,598988639;4,41E-05;HRP1;YOL123W
YAT2 CDS;0,001825398;-0,649122584;4,43E-05;YAT2;YER024W
IDH2 CDS;0,001930081;-0,831169521;4,71E-05;IDH2;YOR136W
CIS3 CDS;0,002085098;-0,96203876;5,13E-05;CIS3;YJL158C
