# Program:featureCounts v2.0.2; Command:"featureCounts" "-p" "-a" "/scratch_tmp/grp/msc_appbio/group1/ref_gen/raw_refgen/GCF_000146045.2/genomic.gtf" "-g" "db_xref" "-o" "/scratch_tmp/grp/msc_appbio/group1/outputs/readCounts/readCounts2.txt" "/scratch_tmp/grp/msc_appbio/group1/outputs/star_outs/SRR11318268_Aligned.sortedByCoord.out.bam" "/scratch_tmp/grp/msc_appbio/group1/outputs/star_outs/SRR11318269_Aligned.sortedByCoord.out.bam" "/scratch_tmp/grp/msc_appbio/group1/outputs/star_outs/SRR11318270_Aligned.sortedByCoord.out.bam" "/scratch_tmp/grp/msc_appbio/group1/outputs/star_outs/SRR11318271_Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	/scratch_tmp/grp/msc_appbio/group1/outputs/star_outs/SRR11318268_Aligned.sortedByCoord.out.bam	/scratch_tmp/grp/msc_appbio/group1/outputs/star_outs/SRR11318269_Aligned.sortedByCoord.out.bam	/scratch_tmp/grp/msc_appbio/group1/outputs/star_outs/SRR11318270_Aligned.sortedByCoord.out.bam	/scratch_tmp/grp/msc_appbio/group1/outputs/star_outs/SRR11318271_Aligned.sortedByCoord.out.bam
GenBank:NM_001180043.1	NC_001133.9	1807	2169	-	363	34	56	46	31
GenBank:NM_001184582.1	NC_001133.9	2480	2707	+	228	0	0	0	0
GenBank:NM_001178208.1	NC_001133.9	7235	9016	-	1782	0	0	4	0
GenBank:NM_001179897.1	NC_001133.9	11565	11951	-	387	4	18	10	16
GenBank:NM_001180042.1	NC_001133.9	12046	12426	+	381	51	80	55	63
GenBank:NM_001180041.1	NC_001133.9	13363	13743	-	381	0	0	0	0
GenBank:NM_001178206.2	NC_001133.9	21566	21850	+	285	0	0	0	0
GenBank:NM_001184642.1	NC_001133.9	22395	22685	-	291	0	0	0	0
GenBank:NM_001178205.1	NC_001133.9	24000	27968	-	3969	1019	1228	956	1147
GenBank:NM_001178204.1	NC_001133.9	31567	32940	+	1374	23669	24388	27545	25710
GenBank:NM_001178203.1	NC_001133.9	33448	34701	+	1254	21457	18125	20451	13920
GenBank:NM_001178202.2	NC_001133.9	35155	36303	+	1149	23697	27223	11811	13189
GenBank:NM_001178201.2	NC_001133.9	36509	37147	+	639	5553	4927	4471	6174
GenBank:NM_001178200.1	NC_001133.9	37464	38972	+	1509	3154	3174	2802	3015
GenBank:NM_001178199.2	NC_001133.9	39259	41901	+	2643	8176	8476	8760	7557
GenBank:NM_001178198.1	NC_001133.9	42177	42719	+	543	3321	3332	3432	2742
GenBank:NM_001178197.1	NC_001133.9	42881	45022	-	2142	215412	183344	251500	172934
GenBank:NM_001178196.2	NC_001133.9	45899	48250	+	2352	19283	20108	21170	19332
GenBank:NM_001178195.2	NC_001133.9	48564	51707	+	3144	5450	5718	5488	4277
GenBank:NM_001178194.1	NC_001133.9	51855	52595	-	741	10898	9934	12287	11985
GenBank:NM_001178193.1	NC_001133.9	52801	54789	-	1989	3722	3877	4026	2824
GenBank:NM_001178192.2	NC_001133.9	54989	56857	-	1869	2337	2205	1904	1868
GenBank:NM_001178191.1	NC_001133.9	57029	57385	-	357	3156	3554	2716	3783
GenBank:NM_001184453.1	NC_001133.9	57518	57850	+	333	5523	5937	5173	5615
GenBank:NM_001178189.1	NC_001133.9	57950	58462	-	513	11892	11008	14623	14940
GenBank:NM_001178188.1	NC_001133.9	58695	61052	-	2358	6513	6761	6622	4572
GenBank:NM_001178187.1	NC_001133.9	61316	62563	+	1248	16593	16477	14244	13177
GenBank:NM_001178186.1	NC_001133.9	62840	65404	+	2565	4744	5036	4362	5067
GenBank:NM_001178185.1	NC_001133.9	65778	67520	-	1743	2404	2817	2976	2626
GenBank:NM_001178184.1	NC_001133.9	68716	69525	-	810	7175	7814	7117	6829
GenBank:NM_001178183.1	NC_001133.9	71786	73288	+	1503	253269	294266	239449	169575
GenBank:NM_001184629.1	NC_001133.9	73426	73518	-	93	223	259	180	241
GenBank:NM_001178182.1	NC_001133.9	74020	74823	+	804	1441	1396	1204	1536
GenBank:NM_001178181.1	NC_001133.9	75043	76152	-	1110	4928	5317	4490	5772
GenBank:NM_001178180.1	NC_001133.9	76427	79435	+	3009	24622	27552	25129	19858
GenBank:NM_001178179.1	NC_001133.9	79718	80587	+	870	1256	1492	1305	1878
GenBank:NM_001180035.1	NC_001133.9	80710	81951	-	1242	17838	17759	17607	10535
GenBank:NM_001178178.1	NC_001133.9	82706	83227	+	522	4037	3370	2620	4691
GenBank:NM_001178177.1	NC_001133.9	83335	84474	-	1140	4713	4632	4313	3409
GenBank:NM_001178176.1	NC_001133.9	84749	87031	-	2283	4589	4799	4200	3729
GenBank:NM_001178175.1	NC_001133.9;NC_001133.9	87286;87501	87387;87752	+;+	354	8039	8249	6719	5386
GenBank:NM_001178174.1	NC_001133.9	87855	92270	-	4416	3423	4025	4331	6537
GenBank:NM_001178173.1	NC_001133.9	92900	94486	+	1587	2609	2574	2830	2009
GenBank:NM_001178172.1	NC_001133.9	94687	95472	+	786	4359	4260	3439	2998
GenBank:NM_001178171.2	NC_001133.9	95630	99697	-	4068	4890	5583	5003	5926
GenBank:NR_132149.1	NC_001133.9	99305	99868	+	564	16	18	17	13
GenBank:NM_001178170.2	NC_001133.9	100225	101145	-	921	5080	6163	4701	5706
GenBank:NM_001178169.1	NC_001133.9	101565	105872	-	4308	1970	2220	1681	1417
GenBank:NM_001178168.1	NC_001133.9	106272	108551	-	2280	9099	11956	7777	8954
GenBank:NM_001178167.1	NC_001133.9	108877	110430	-	1554	3314	3378	3498	3684
GenBank:NM_001178166.1	NC_001133.9	110846	113359	-	2514	8597	9861	9926	8193
GenBank:NM_001178165.2	NC_001133.9	113614	114615	-	1002	7067	8569	4746	4687
GenBank:NM_001178164.1	NC_001133.9	114919	118314	+	3396	3263	4081	3176	3242
GenBank:NM_001178163.1	NC_001133.9	118564	119541	-	978	1205	1236	1128	1473
GenBank:NM_001178162.2	NC_001133.9	120225	124295	+	4071	10282	11045	10886	9810
GenBank:NM_001178161.1	NC_001133.9	124879	126786	+	1908	17169	16901	18463	14395
GenBank:NM_001178160.1	NC_001133.9	126903	128102	-	1200	4379	4449	2997	3927
GenBank:NM_001178159.1	NC_001133.9	128252	129019	-	768	5271	5829	4800	4555
GenBank:NM_001178158.2	NC_001133.9	129270	130487	+	1218	5464	5661	5795	4031
GenBank:NM_001178157.1	NC_001133.9	130799	131983	+	1185	3507	4361	3732	3754
GenBank:NM_001178156.1	NC_001133.9	132199	134076	+	1878	3576	4021	3271	2620
GenBank:NM_001178155.2	NC_001133.9	134184	135665	-	1482	3452	3396	2765	2916
GenBank:NM_001178154.1	NC_001133.9	135854	136633	+	780	3418	3504	3059	3537
GenBank:NM_001178153.1	NC_001133.9	136914	137510	+	597	9716	8781	8122	9255
GenBank:NM_001178152.1	NC_001133.9	137698	138345	-	648	2990	3717	3021	5647
GeneID:851227	NC_001133.9;NC_001133.9	139152;139219	139187;139254	+;+	72	4	7	0	7
GenBank:NM_001178151.1	NC_001133.9	139503	141431	-	1929	197320	229821	173839	145270
GenBank:NM_001178150.1	NC_001133.9;NC_001133.9	142174;142620	142253;143160	+;+	621	50276	61218	49632	60873
GenBank:NR_132150.1	NC_001133.9	142367	142468	+	102	2062	2583	1220	1565
GenBank:NM_001178149.1	NC_001133.9	143707	147531	+	3825	4907	5306	4885	4245
GenBank:NM_001178148.1	NC_001133.9;NC_001133.9	147594;151097	151006;151166	-;-	3483	7541	8008	7274	6011
GenBank:NM_001178209.1	NC_001133.9	152257	153876	+	1620	4884	5121	5375	5547
GenBank:NM_001180033.1	NC_001133.9	154065	154724	-	660	11123	12231	9482	11441
GenBank:NM_001178210.1	NC_001133.9	155005	156285	+	1281	3219	3480	2580	3895
GenBank:NM_001178211.1	NC_001133.9	156754	158619	-	1866	11297	11770	13221	12022
GenBank:NM_001178212.1	NC_001133.9	158966	159793	+	828	2876	2586	2784	5263
GenBank:NM_001178213.1	NC_001133.9	160597	164187	-	3591	115	132	103	111
GenBank:NM_001178214.1	NC_001133.9	164544	165866	-	1323	9	15	6	10
GeneID:851270	NC_001133.9	166267	166339	+	73	1	2	0	1
GenBank:NM_001178215.2	NC_001133.9	166742	168871	-	2130	5636	5924	5014	5198
GenBank:NM_001178216.1	NC_001133.9	169375	170295	+	921	5785	6059	7782	9191
GenBank:NM_001178217.1	NC_001133.9	170396	171703	-	1308	1313	1485	1024	1348
GenBank:NM_001178218.2	NC_001133.9	172211	175135	-	2925	3311	3485	2887	2399
GenBank:NM_001178219.1	NC_001133.9	176856	177023	-	168	1837	1440	717	587
GenBank:NM_001178220.2	NC_001133.9	179281	179820	-	540	989	1131	780	1069
GeneID:851277	NC_001133.9;NC_001133.9	181141;181211	181178;181254	+;+	82	4	4	17	10
GeneID:851278	NC_001133.9	182522	182603	-	82	10	17	5	11
GenBank:NM_001178221.1	NC_001133.9	183770	184477	+	708	5567	5168	5208	7386
GenBank:NM_001178222.1	NC_001133.9	184892	185596	+	705	432	520	237	394
GenBank:NM_001178223.1	NC_001133.9	186321	186545	+	225	100	100	74	124
GenBank:NM_001178224.1	NC_001133.9	186836	187732	+	897	577	661	584	617
GenBank:NM_001178225.1	NC_001133.9	188107	188811	+	705	773	755	683	921
GenBank:NM_001178226.1	NC_001133.9	190193	192256	+	2064	23320	20330	24932	14886
GenBank:NM_001184583.1	NC_001133.9	192337	192417	-	81	315	289	420	363
GenBank:NM_001178227.1	NC_001133.9	192619	196185	+	3567	8338	8717	9381	7242
GenBank:NM_001178230.1	NC_001133.9	203403	208016	+	4614	574	721	823	650
SGD:S000000087	NC_001133.9	218140	219145	+	1006	0	0	0	0
GenBank:NM_001178235.1	NC_001133.9	220198	220497	+	300	12	26	30	27
GenBank:NM_001180045.1	NC_001133.9	221049	221660	+	612	230	231	202	135
GenBank:NM_001178236.1	NC_001133.9	222406	222891	+	486	547	604	442	326
GenBank:NM_001178239.1	NC_001133.9	225460	226863	+	1404	1076	1242	1148	1162
GenBank:NM_001180054.1	NC_001134.8	280	2658	-	2379	6741	7642	7268	5760
GenBank:NM_001180053.1	NC_001134.8	2582	2899	-	318	0	0	3	1
GenBank:NM_001180052.1	NC_001134.8;NC_001134.8	2907;4216	4116;5009	-;-	2004	39	18	19	21
GenBank:NM_001184458.1	NC_001134.8	7605	7733	-	129	6	7	2	3
GeneID:852166	NC_001134.8	9583	9666	+	84	0	4	0	5
GenBank:NM_001178347.1	NC_001134.8	9961	10551	-	591	5338	5582	5177	6962
GenBank:NM_001178346.2	NC_001134.8	10847	13879	-	3033	4931	4620	3291	3006
GenBank:NM_001178345.2	NC_001134.8	14241	17696	-	3456	15057	17899	12297	9870
GenBank:NM_001178344.1	NC_001134.8	18177	21293	-	3117	4309	4308	3779	3813
GenBank:NM_001178343.1	NC_001134.8	22076	23536	-	1461	3967	3568	3806	3355
GenBank:NM_001178342.1	NC_001134.8	24098	24745	+	648	7326	7018	7575	8779
